steps,losses
267000,0.076053977
268000,0.05954089
269000,0.057874613
270000,0.117184103
271000,0.051309541
272000,0.053928137
273000,0.05650264
274000,0.190955922
275000,0.078844592
276000,0.075364098
277000,0.218134731
278000,0.102765322
279000,0.041791148
280000,0.09394668
281000,0.107893981
282000,0.189783812
283000,0.094825834
284000,0.357972026
285000,0.074104741
286000,0.132873327
287000,0.047298349
288000,0.057069022
289000,0.079492748
290000,0.087857649
291000,0.061921522
292000,0.110618569
293000,0.067314252
294000,0.055328652
295000,0.046729162
296000,0.094247863
297000,0.076267362
298000,0.159333453
299000,0.045426235
300000,0.059498347
301000,0.07598865
302000,0.093955979
303000,0.078361042
304000,0.04739904
305000,0.09621112
306000,0.066153437
307000,0.064298585
308000,0.09332294
309000,0.052247979
310000,0.101504818
311000,0.078060299
312000,0.049451694
313000,0.072557613
314000,0.055895794
315000,0.152184814
316000,0.057693861
317000,0.110614866
318000,0.100990966
319000,0.080489226
320000,0.114865974
321000,0.133344322
322000,0.05523796
323000,0.079703629
324000,0.087440111
325000,0.09413752
326000,0.143640339
327000,0.053944193
328000,0.066492766
329000,0.059304576
330000,0.200081736
331000,0.085364476
332000,0.077298842
333000,1.055471182
334000,0.059864752
335000,0.092139818
336000,0.101234108
337000,0.070934184
338000,0.096785396
339000,0.031968635
340000,0.116135538
341000,0.083224699
342000,0.098928683
343000,0.109783761
344000,0.107149579
345000,0.103272319
346000,0.059224159
347000,0.089935496
348000,0.063691393
349000,0.144919246
350000,0.120682873
351000,0.394613147
352000,0.282728374
353000,0.078907624
354000,0.089487858
355000,0.334871888
356000,0.179475605
357000,0.160463408
358000,0.069701552
359000,0.080254354
360000,0.101833284
361000,0.278890729
362000,0.118025288
363000,0.092021115
364000,0.17999272
365000,0.107236564
366000,0.118068926
367000,0.092368357
368000,0.15633139
369000,0.190065697
370000,0.167173877
371000,0.203420162
372000,0.165332109
373000,0.151933149
374000,0.142940402
375000,0.127280116
376000,0.123381451
377000,0.107477106
378000,0.078024
379000,0.193007842
380000,0.064539067
381000,0.134341419
382000,0.096762314
383000,0.135360241
384000,0.2064358
385000,0.266986698
386000,0.23924458
387000,0.456059515
388000,0.604157686
389000,0.137239516
390000,0.090541735
391000,0.11615479
392000,0.132271975
393000,0.112084597
394000,0.112311646
395000,0.272937596
396000,0.129914358
397000,0.329700142
398000,0.143347323
399000,0.103161201
400000,0.17067191
401000,0.107450403
402000,0.170631617
403000,0.101197399
404000,0.192913115
405000,0.389797211
406000,0.137726948
407000,0.19432877
408000,0.160737664
409000,0.358225226
410000,0.28121686
411000,0.171132088
412000,0.354593873
413000,0.214264035
414000,0.148887008
415000,0.621051371
416000,0.110371605
417000,0.27343753
418000,0.238627151
419000,0.098588742
420000,0.23852621
421000,0.161816329
422000,0.173871726
423000,0.142281741
424000,0.157208428
425000,0.271767318
426000,0.117142916
427000,0.20322457
428000,0.110320136
429000,0.839637876
430000,0.244318306
431000,0.175385162
432000,0.213119984
433000,0.116703674
434000,0.169248074
435000,0.148347259
436000,0.176020294
437000,0.28800723
438000,0.147866845
439000,0.116740644
440000,0.135605186
441000,0.316055477
442000,0.287061125
443000,0.212514609
444000,0.155449137
445000,0.212890536
446000,0.136176795
447000,0.225782603
448000,0.273667872
449000,0.243840128
450000,0.29276216
451000,0.232997894
452000,0.546390414
453000,0.375309497
454000,0.179383501
455000,0.38540259
