steps,losses
453000,0.013270283
454000,0.002958319
455000,0.007285296
456000,0.003888399
457000,0.006036799
458000,0.00377833
459000,0.003428875
460000,0.005568424
461000,0.00514915
462000,0.005586199
463000,0.002592847
464000,0.004332053
465000,0.004530115
466000,0.003130903
467000,0.003875846
468000,0.004412715
469000,0.003714543
470000,0.003077562
471000,0.005658714
472000,0.007237854
473000,0.003689184
474000,0.002669512
475000,0.002541941
476000,0.00337014
477000,0.00541197
478000,0.006273989
479000,0.002406885
480000,0.006316559
481000,0.004761366
482000,0.003816147
483000,0.006399888
484000,0.01070816
485000,0.006413032
486000,0.003581507
487000,0.004583998
488000,0.003260681
489000,0.003104395
490000,0.006233573
491000,0.007824789
492000,0.015542405
493000,0.007629859
494000,0.005977437
495000,0.008679849
496000,0.004995598
497000,0.005660882
498000,0.004721125
499000,0.002963262
500000,0.006352046
501000,0.008061791
502000,0.004617321
503000,0.002753699
504000,0.003006063
505000,0.007462427
506000,0.006115817
507000,0.004867082
508000,0.003466836
509000,0.003683095
510000,0.003530064
511000,0.007168017
512000,0.006628531
513000,0.005781203
514000,0.00640864
515000,0.003856843
516000,0.004524606
517000,0.00311234
518000,0.005927876
519000,0.002659401
520000,0.008617374
521000,0.00367223
522000,0.00399276
523000,0.005023096
524000,0.002081392
525000,0.005198662
526000,0.004056762
527000,0.003235815
528000,0.002861927
529000,0.002811577
530000,0.005586711
531000,0.006075152
532000,0.005846823
533000,0.005710676
534000,0.002868174
535000,0.008522853
536000,0.004763918
537000,0.002897111
538000,0.002878005
539000,0.00336256
540000,0.00442572
541000,0.005000364
542000,0.002921843
543000,0.004786731
544000,0.004124078
545000,0.004209562
546000,0.00415242
547000,0.002300116
548000,0.007590044
549000,0.005443245
550000,0.005397605
551000,0.002577422
552000,0.006950438
553000,0.004892186
554000,0.00398247
555000,0.002746422
556000,0.014077716
557000,0.005879678
558000,0.007616073
559000,0.00260521
560000,0.00401719
561000,0.006240974
562000,0.004670862
563000,0.006042155
564000,0.002688313
565000,0.004866113
566000,0.007007457
567000,0.003598049
568000,0.006265149
569000,0.002762511
570000,0.004021264
571000,0.004878056
572000,0.003343028
573000,0.003116434
574000,0.005663319
575000,0.004067694
576000,0.004363344
577000,0.005645079
578000,0.005405814
579000,0.003132188
580000,0.007399818
581000,0.005972508
582000,0.004877943
583000,0.00626104
584000,0.005401862
585000,0.01415066
586000,0.005726632
587000,0.003386146
588000,0.006032755
589000,0.008794533
590000,0.006652031
591000,0.004896074
592000,0.003691219
593000,0.003586343
594000,0.003682584
595000,0.004283578
596000,0.002152142
597000,0.005851733
598000,0.004769472
599000,0.004284361
600000,0.004353058
601000,0.019521663
602000,0.00315151
603000,0.003575867
604000,0.002890597
605000,0.005419665
606000,0.00553524
607000,0.002625781
608000,0.003620848
609000,0.003192378
610000,0.004796685
611000,0.005172395
612000,0.004641558
613000,0.002746796
614000,0.002589988
615000,0.005137494
616000,0.010863338
617000,0.003392401
618000,0.003099637
619000,0.008271065
620000,0.005176161
621000,0.003791583
622000,0.00584884
623000,0.004045878
624000,0.002816259
625000,0.006291791
626000,0.004370294
627000,0.006430186
628000,0.003000722
629000,0.005549965
630000,0.007693985
631000,0.005195183
632000,0.005609943
633000,0.004016407
634000,0.002166333
635000,0.003106743
636000,0.005380681
637000,0.003532178
638000,0.003453033
639000,0.004123528
640000,0.004833822
641000,0.00686597
642000,0.003700505
643000,0.013042047
644000,0.004214898
645000,0.004200814
646000,0.004406992
647000,0.010658078
648000,0.008467188
649000,0.003677873
650000,0.001873553
651000,0.002461581
652000,0.004589438
653000,0.003533604
654000,0.006532751
655000,0.004589373
656000,0.007522344
657000,0.003594489
658000,0.00559094
659000,0.003544026
660000,0.005413517
661000,0.005853417
662000,0.007905725
663000,0.00431637
664000,0.004729872
665000,0.006406082
666000,0.006467585
667000,0.006156542
668000,0.005517167
669000,0.005179754
670000,0.008828294
671000,0.004023106
672000,0.006658456
673000,0.005908025
674000,0.003745562
675000,0.003022468
676000,0.011462211
677000,0.005759347
678000,0.002323765
679000,0.004205895
680000,0.003842146
681000,0.007711691
682000,0.018654328
683000,0.003357347
684000,0.005096814
685000,0.003993338
686000,0.004190654
687000,0.00447447
688000,0.010632783
689000,0.005433096
690000,0.004801891
691000,0.006859498
692000,0.005417129
693000,0.002331449
694000,0.00532065
695000,0.005521352
